name,symbol,instrument type,exchange,industry
EUR/USD,EURUSD,Currencies,-,-
GBP/USD,GBPUSD,Currencies,-,-
NZD/USD,NZDUSD,Currencies,-,-
USD/CAD,USDCAD,Currencies,-,-
USD/JPY,USDJPY,Currencies,-,-
USD/CHF,USDCHF,Currencies,-,-
AUD/USD,AUDUSD,Currencies,-,-
EUR/GBP,EURGBP,Currencies,-,-
EUR/CHF,EURCHF,Currencies,-,-
EUR/JPY,EURJPY,Currencies,-,-
GBP/JPY,GBPJPY,Currencies,-,-
EUR/AUD,EURAUD,Currencies,-,-
EUR/CAD,EURCAD,Currencies,-,-
AUD/JPY,AUDJPY,Currencies,-,-
CAD/JPY,CADJPY,Currencies,-,-
CHF/JPY,CHFJPY,Currencies,-,-
USD/HKD,USDHKD,Currencies,-,-
USD/ZAR,USDZAR,Currencies,-,-
USD/RUB,USDRUB,Currencies,-,-
USD/CNH,USDCNH,Currencies,-,-
AUD/CHF,AUDCHF,Currencies,-,-
AUD/CAD,AUDCAD,Currencies,-,-
AUD/NZD,AUDNZD,Currencies,-,-
EUR/NZD,EURNZD,Currencies,-,-
GBP/CHF,GBPCHF,Currencies,-,-
GBP/NZD,GBPNZD,Currencies,-,-
NZD/CAD,NZDCAD,Currencies,-,-
NZD/CHF,NZDCHF,Currencies,-,-
NZD/JPY,NZDJPY,Currencies,-,-
CAD/CHF,CADCHF,Currencies,-,-
USD/NOK,USDNOK,Currencies,-,-
USD/SEK,USDSEK,Currencies,-,-
NOK/SEK,NOKSEK,Currencies,-,-
EUR/NOK,EURNOK,Currencies,-,-
EUR/SEK,EURSEK,Currencies,-,-
USD/TRY,USDTRY,Currencies,-,-
USD/MXN,USDMXN,Currencies,-,-
USD/SGD,USDSGD,Currencies,-,-
GBP/CAD,GBPCAD,Currencies,-,-
ZAR/JPY,ZARJPY,Currencies,-,-
EUR/PLN,EURPLN,Currencies,-,-
USD/HUF,USDHUF,Currencies,-,-
EUR/HUF,EURHUF,Currencies,-,-
GBP/HUF,GBPHUF,Currencies,-,-
CHF/HUF,CHFHUF,Currencies,-,-
USD/PLN,USDPLN,Currencies,-,-
USD/DKK,USDDKK,Currencies,-,-
EUR/DKK,EURDKK,Currencies,-,-
USD/CZK,USDCZK,Currencies,-,-
USD/ILS,USDILS,Currencies,-,-
GBP/ILS,GBPILS,Currencies,-,-
EUR/ILS,EURILS,Currencies,-,-
USD/COP,USDCOP,Currencies,-,-
USD/CLP,USDCLP,Currencies,-,-
USD/KRW,USDKRW,Currencies,-,-
USD/BRL,USDBRL,Currencies,-,-
USD/PEN,USDPEN,Currencies,-,-
USD/INR,USDINR,Currencies,-,-
USD/PHP,USDPHP,Currencies,-,-
USD/TWD,USDTWD,Currencies,-,-
USD/THB,USDTHB,Currencies,-,-
USD/IDR,USDIDR,Currencies,-,-
